Departamento,Año,RangoEdad,EdadInicio,EdadFin,Sexo,Población
Cajamarca,1981,0-4,0,4,Hombre,88714
Cajamarca,1981,5-9,5,9,Hombre,84352
Cajamarca,1981,10-14,10,14,Hombre,74397
Cajamarca,1981,15-19,15,19,Hombre,53966
Cajamarca,1981,20-24,20,24,Hombre,41137
Cajamarca,1981,25-29,25,29,Hombre,30656
Cajamarca,1981,30-34,30,34,Hombre,25076
Cajamarca,1981,35-39,35,39,Hombre,23053
Cajamarca,1981,40-44,40,44,Hombre,21372
Cajamarca,1981,45-49,45,49,Hombre,18409
Cajamarca,1981,50-54,50,54,Hombre,14835
Cajamarca,1981,55-59,55,59,Hombre,11768
Cajamarca,1981,60-64,60,64,Hombre,11571
Cajamarca,1981,65-69,65,69,Hombre,7385
Cajamarca,1981,70-74,70,74,Hombre,5442
Cajamarca,1981,75-79,75,79,Hombre,3318
Cajamarca,1981,80 y más,80,120,Hombre,3359
Cajamarca,1981,0-4,0,4,Mujer,87775
Cajamarca,1981,5-9,5,9,Mujer,82824
Cajamarca,1981,10-14,10,14,Mujer,71228
Cajamarca,1981,15-19,15,19,Mujer,53446
Cajamarca,1981,20-24,20,24,Mujer,43102
Cajamarca,1981,25-29,25,29,Mujer,33479
Cajamarca,1981,30-34,30,34,Mujer,26513
Cajamarca,1981,35-39,35,39,Mujer,26085
Cajamarca,1981,40-44,40,44,Mujer,21965
Cajamarca,1981,45-49,45,49,Mujer,19618
Cajamarca,1981,50-54,50,54,Mujer,15238
Cajamarca,1981,55-59,55,59,Mujer,11573
Cajamarca,1981,60-64,60,64,Mujer,11578
Cajamarca,1981,65-69,65,69,Mujer,7081
Cajamarca,1981,70-74,70,74,Mujer,6547
Cajamarca,1981,75-79,75,79,Mujer,3691
Cajamarca,1981,80 y más,80,120,Mujer,5016
Cajamarca,1993,0-4,0,4,Hombre,93767
Cajamarca,1993,5-9,5,9,Hombre,95216
Cajamarca,1993,10-14,10,14,Hombre,89915
Cajamarca,1993,15-19,15,19,Hombre,66908
Cajamarca,1993,20-24,20,24,Hombre,52461
Cajamarca,1993,25-29,25,29,Hombre,41679
Cajamarca,1993,30-34,30,34,Hombre,36369
Cajamarca,1993,35-39,35,39,Hombre,29446
Cajamarca,1993,40-44,40,44,Hombre,24819
Cajamarca,1993,45-49,45,49,Hombre,20973
Cajamarca,1993,50-54,50,54,Hombre,18847
Cajamarca,1993,55-59,55,59,Hombre,15002
Cajamarca,1993,60-64,60,64,Hombre,14869
Cajamarca,1993,65-69,65,69,Hombre,9561
Cajamarca,1993,70-74,70,74,Hombre,7823
Cajamarca,1993,75-79,75,79,Hombre,4918
Cajamarca,1993,80 y más,80,120,Hombre,5302
Cajamarca,1993,0-4,0,4,Mujer,90990
Cajamarca,1993,5-9,5,9,Mujer,92444
Cajamarca,1993,10-14,10,14,Mujer,85242
Cajamarca,1993,15-19,15,19,Mujer,65496
Cajamarca,1993,20-24,20,24,Mujer,56010
Cajamarca,1993,25-29,25,29,Mujer,45172
Cajamarca,1993,30-34,30,34,Mujer,37066
Cajamarca,1993,35-39,35,39,Mujer,31942
Cajamarca,1993,40-44,40,44,Mujer,25880
Cajamarca,1993,45-49,45,49,Mujer,23116
Cajamarca,1993,50-54,50,54,Mujer,19385
Cajamarca,1993,55-59,55,59,Mujer,15343
Cajamarca,1993,60-64,60,64,Mujer,14124
Cajamarca,1993,65-69,65,69,Mujer,9558
Cajamarca,1993,70-74,70,74,Mujer,7946
Cajamarca,1993,75-79,75,79,Mujer,4962
Cajamarca,1993,80 y más,80,120,Mujer,7257
Cajamarca,2005,0-4,0,4,Hombre,70890
Cajamarca,2005,5-9,5,9,Hombre,85153
Cajamarca,2005,10-14,10,14,Hombre,91185
Cajamarca,2005,15-19,15,19,Hombre,73550
Cajamarca,2005,20-24,20,24,Hombre,61923
Cajamarca,2005,25-29,25,29,Hombre,50030
Cajamarca,2005,30-34,30,34,Hombre,42602
Cajamarca,2005,35-39,35,39,Hombre,41500
Cajamarca,2005,40-44,40,44,Hombre,34008
